date,desktop,mobile,total
2024-01-16,235,9030,9265
2024-01-17,329,22120,22449
2024-01-18,332,23975,24307
2024-01-19,343,20499,20842
2024-01-20,524,26724,27248
2024-01-21,489,29369,29858
2024-01-22,733,30121,30854
2024-01-23,538,25783,26321
2024-01-24,1970,35518,37488
2024-01-25,663,36838,37501
2024-01-26,489,27332,27821
2024-01-27,450,28038,28488
2024-01-28,581,33487,34068
2024-01-29,567,29018,29585
2024-01-30,540,31095,31635
2024-01-31,656,35848,36504
2024-02-01,601,40832,41433
2024-02-02,327,25586,25913
2024-02-03,712,34168,34880
2024-02-04,633,37719,38352
2024-02-05,609,31446,32055
2024-02-06,590,36061,36651
2024-02-07,697,45164,45861
2024-02-08,461,33037,33498
2024-02-09,426,26948,27374
2024-02-10,535,29610,30145
2024-02-11,521,24159,24680
2024-02-12,507,26272,26779
2024-02-13,531,32309,32840
2024-02-14,577,62704,63281
2024-02-15,678,67391,68069
2024-02-16,824,68578,69402
2024-02-17,742,66594,67336
2024-02-18,797,57200,57997
2024-02-19,547,44236,44783
2024-02-20,472,30817,31289
2024-02-21,523,60109,60632
2024-02-22,669,84051,84720
2024-02-23,389,23490,23879
2024-02-24,307,15371,15678
2024-02-25,213,4496,4709
2024-02-26,241,4358,4599
2024-02-27,270,3019,3289
2024-02-28,636,66304,66940
2024-02-29,641,59820,60461
2024-03-01,363,19547,19910
2024-03-02,227,2666,2893
2024-03-03,430,18187,18617
2024-03-04,514,33376,33890
2024-03-05,525,41771,42296
2024-03-06,491,32003,32494
2024-03-07,597,33482,34079
2024-03-08,438,53221,53659
2024-03-09,373,29111,29484
2024-03-10,298,21920,22218
2024-03-11,437,35058,35495
2024-03-12,147,4243,4390
2024-03-13,239,2125,2364
2024-03-14,398,41671,42069
2024-03-15,410,46342,46752
2024-03-16,268,8627,8895
2024-03-17,252,9625,9877
2024-03-18,189,3876,4065
2024-03-19,179,2764,2943
2024-03-20,353,33680,34033
2024-03-21,206,4890,5096
2024-03-22,224,5955,6179
2024-03-23,174,3735,3909
2024-03-24,180,3776,3956
2024-03-25,176,3354,3530
2024-03-26,170,3410,3580
2024-03-27,177,2863,3040
2024-03-28,178,4422,4600
2024-03-29,181,6821,7002
2024-03-30,185,4202,4387
2024-03-31,121,3058,3179
2024-04-01,188,18172,18360
2024-04-02,297,56883,57180
2024-04-03,325,39204,39529
2024-04-04,452,88036,88488
2024-04-05,337,55794,56131
2024-04-06,217,7994,8211
2024-04-07,309,35836,36145
2024-04-08,204,6990,7194
2024-04-09,593,98919,99512
2024-04-10,485,96311,96796
2024-04-11,473,52761,53234
2024-04-12,266,16339,16605
2024-04-13,278,20675,20953
2024-04-14,236,6230,6466
2024-04-15,343,38067,38410
2024-04-16,202,9818,10020
2024-04-17,260,26130,26390
2024-04-18,187,4954,5141
2024-04-19,432,92692,93124
2024-04-20,230,13159,13389
2024-04-21,177,3536,3713
2024-04-22,303,24388,24691
2024-04-23,167,6560,6727
2024-04-24,199,6952,7151
2024-04-25,194,3875,4069
2024-04-26,155,2824,2979
2024-04-27,171,2872,3043
2024-04-28,167,2292,2459
2024-04-29,146,1795,1941
2024-04-30,153,1888,2041
2024-05-01,130,1655,1785
2024-05-02,151,2054,2205
2024-05-03,140,1804,1944
2024-05-04,168,2703,2871
2024-05-05,136,6146,6282
2024-05-06,138,1824,1962
2024-05-07,148,2591,2739
2024-05-08,172,5279,5451
2024-05-09,232,12427,12659
2024-05-10,292,7115,7407
2024-05-11,246,2929,3175
2024-05-12,227,4046,4273
2024-05-13,203,3996,4199
2024-05-14,231,9362,9593
2024-05-15,279,9812,10091
2024-05-16,288,10367,10655
2024-05-17,445,18833,19278
2024-05-18,401,16882,17283
2024-05-19,455,36169,36624
2024-05-20,460,11952,12412
2024-05-21,270,6695,6965
2024-05-22,317,13927,14244
2024-05-23,362,19561,19923
2024-05-24,1270,119753,121023
2024-05-25,1025,76030,77055
2024-05-26,1616,106969,108585
2024-05-27,2994,276425,279419
2024-05-28,2375,174169,176544
2024-05-29,2058,163233,165291
2024-05-30,2718,211338,214056
2024-05-31,1374,67007,68381
2024-06-01,293,6259,6552
2024-06-02,465,30263,30728
2024-06-03,826,59921,60747
2024-06-04,948,58210,59158
2024-06-05,721,39607,40328
2024-06-06,1402,144566,145968
2024-06-07,1201,79139,80340
2024-06-08,1262,66121,67383
2024-06-09,981,85835,86816
2024-06-10,925,72511,73436
2024-06-11,1317,130986,132303
2024-06-12,1177,67174,68351
2024-06-13,1429,100217,101646
2024-06-14,1151,88072,89223
2024-06-15,1746,119379,121125
2024-06-16,1568,100734,102302
2024-06-17,1533,121963,123496
2024-06-18,1742,131848,133590
2024-06-19,1876,125255,127131
2024-06-20,1197,96358,97555
2024-06-21,1126,69301,70427
2024-06-22,1177,89136,90313
2024-06-23,1820,148655,150475
2024-06-24,1265,83456,84721
2024-06-25,1578,86099,87677
2024-06-26,1008,63506,64514
2024-06-27,1719,143948,145667
2024-06-28,2064,181667,183731
2024-06-29,3211,264298,267509
2024-06-30,3917,311962,315879
2024-07-01,3033,225666,228699
2024-07-02,3364,223628,226992
2024-07-03,3581,249009,252590
