date,desktop,mobile,total
2024-05-17,69,31,100
2024-05-18,56,75,131
2024-05-19,28,81,109
2024-05-20,20,52,72
2024-05-21,31,56,87
2024-05-22,29,45,74
2024-05-23,24,52,76
2024-05-24,28,39,67
2024-05-25,21,59,80
2024-05-26,30,66,96
2024-05-27,39,75,114
2024-05-28,27,60,87
2024-05-29,31,62,93
2024-05-30,33,74,107
2024-05-31,31,54,85
2024-06-01,25,69,94
2024-06-02,24,83,107
2024-06-03,33,53,86
2024-06-04,33,53,86
2024-06-05,25,80,105
2024-06-06,35,66,101
2024-06-07,35,69,104
2024-06-08,33,112,145
2024-06-09,26,77,103
2024-06-10,37,70,107
2024-06-11,27,51,78
2024-06-12,41,56,97
2024-06-13,86,77,163
2024-06-14,107,116,223
2024-06-15,99,84,183
2024-06-16,96,91,187
2024-06-17,121,78,199
2024-06-18,110,84,194
2024-06-19,109,89,198
2024-06-20,98,99,197
2024-06-21,103,85,188
2024-06-22,99,107,206
2024-06-23,98,104,202
2024-06-24,99,85,184
2024-06-25,102,88,190
2024-06-26,97,82,179
2024-06-27,98,76,174
2024-06-28,94,63,157
2024-06-29,97,96,193
2024-06-30,106,105,211
2024-07-01,106,102,208
2024-07-02,122,87,209
2024-07-03,101,92,193
2024-07-04,101,81,182
2024-07-05,86,67,153
2024-07-06,93,91,184
2024-07-07,103,128,231
2024-07-08,96,101,197
2024-07-09,120,73,193
2024-07-10,98,82,180
2024-07-11,99,66,165
2024-07-12,124,85,209
2024-07-13,88,70,158
2024-07-14,98,97,195
2024-07-15,107,67,174
2024-07-16,130,77,207
2024-07-17,116,95,211
2024-07-18,100,85,185
2024-07-19,98,84,182
2024-07-20,104,80,184
2024-07-21,107,84,191
2024-07-22,113,95,208
2024-07-23,113,80,193
2024-07-24,108,102,210
2024-07-25,123,116,239
2024-07-26,126,102,228
2024-07-27,106,116,222
2024-07-28,109,139,248
2024-07-29,124,117,241
2024-07-30,117,113,230
2024-07-31,123,94,217
2024-08-01,125,98,223
2024-08-02,126,107,233
2024-08-03,123,115,238
2024-08-04,119,164,283
2024-08-05,124,142,266
2024-08-06,121,138,259
2024-08-07,120,125,245
2024-08-08,113,133,246
2024-08-09,116,107,223
2024-08-10,95,131,226
2024-08-11,120,154,274
2024-08-12,104,138,242
2024-08-13,110,122,232
2024-08-14,122,116,238
2024-08-15,127,114,241
2024-08-16,119,101,220
2024-08-17,102,98,200
2024-08-18,104,158,262
2024-08-19,134,111,245
2024-08-20,112,101,213
2024-08-21,114,101,215
2024-08-22,113,99,212
2024-08-23,118,82,200
2024-08-24,101,94,195
2024-08-25,109,109,218
2024-08-26,116,99,215
2024-08-27,137,99,236
2024-08-28,124,125,249
2024-08-29,106,105,211
2024-08-30,113,109,222
2024-08-31,111,116,227
2024-09-01,108,128,236
2024-09-02,124,104,228
2024-09-03,114,84,198
2024-09-04,102,73,175
2024-09-05,107,84,191
2024-09-06,119,83,202
2024-09-07,111,113,224
2024-09-08,135,153,288
2024-09-09,130,106,236
2024-09-10,106,96,202
2024-09-11,108,108,216
2024-09-12,116,63,179
2024-09-13,134,82,216
2024-09-14,129,83,212
2024-09-15,117,112,229
2024-09-16,143,82,225
2024-09-17,109,107,216
2024-09-18,113,72,185
2024-09-19,117,77,194
2024-09-20,106,103,209
2024-09-21,116,77,193
2024-09-22,103,113,216
2024-09-23,116,66,182
2024-09-24,116,94,210
2024-09-25,122,68,190
2024-09-26,117,85,202
2024-09-27,107,70,177
2024-09-28,111,91,202
2024-09-29,103,88,191
2024-09-30,121,74,195
2024-10-01,122,75,197
2024-10-02,114,76,190
2024-10-03,113,61,174
2024-10-04,107,70,177
2024-10-05,97,80,177
2024-10-06,92,95,187
2024-10-07,114,70,184
2024-10-08,116,75,191
2024-10-09,109,58,167
2024-10-10,98,52,150
2024-10-11,100,87,187
2024-10-12,104,96,200
2024-10-13,97,84,181
2024-10-14,102,95,197
2024-10-15,115,90,205
2024-10-16,109,84,193
2024-10-17,112,66,178
2024-10-18,115,71,186
2024-10-19,113,81,194
2024-10-20,108,101,209
2024-10-21,116,83,199
2024-10-22,106,67,173
2024-10-23,100,59,159
2024-10-24,110,73,183
2024-10-25,123,76,199
2024-10-26,105,77,182
2024-10-27,134,102,236
2024-10-28,135,91,226
2024-10-29,429,790,1219
2024-10-30,1038,4015,5053
2024-10-31,726,3241,3967
2024-11-01,542,1917,2459
2024-11-02,295,829,1124
2024-11-03,332,883,1215
2024-11-04,405,755,1160
2024-11-05,311,449,760
2024-11-06,233,166,399
2024-11-07,207,134,341
2024-11-08,186,159,345
2024-11-09,182,258,440
2024-11-10,213,476,689
2024-11-11,257,449,706
2024-11-12,204,182,386
2024-11-13,237,213,450
2024-11-14,210,203,413
2024-11-15,201,195,396
2024-11-16,157,185,342
2024-11-17,159,186,345
2024-11-18,187,151,338
2024-11-19,194,147,341
2024-11-20,165,176,341
2024-11-21,177,170,347
2024-11-22,197,164,361
2024-11-23,188,186,374
2024-11-24,200,272,472
2024-11-25,225,377,602
2024-11-26,235,304,539
2024-11-27,249,200,449
2024-11-28,178,230,408
2024-11-29,193,240,433
2024-11-30,216,269,485
2024-12-01,212,355,567
2024-12-02,255,339,594
2024-12-03,266,408,674
2024-12-04,267,523,790
2024-12-05,1668,1873,3541
2024-12-06,1589,2749,4338
2024-12-07,945,2481,3426
2024-12-08,696,2220,2916
2024-12-09,912,2062,2974
2024-12-10,757,1949,2706
2024-12-11,626,1583,2209
2024-12-12,493,1461,1954
2024-12-13,444,1119,1563
2024-12-14,328,1068,1396
2024-12-15,327,663,990
2024-12-16,388,528,916
2024-12-17,391,422,813
2024-12-18,343,382,725
2024-12-19,308,333,641
2024-12-20,324,415,739
2024-12-21,284,430,714
2024-12-22,280,442,722
2024-12-23,325,468,793
2024-12-24,382,636,1018
2024-12-25,777,1853,2630
2024-12-26,568,1282,1850
2024-12-27,601,1168,1769
2024-12-28,663,1182,1845
2024-12-29,651,1316,1967
2024-12-30,640,1086,1726
2024-12-31,1271,4672,5943
