date,desktop,mobile,total
2024-01-16,1675,3832,5507
2024-01-17,2076,4028,6104
2024-01-18,1979,3907,5886
2024-01-19,1747,3964,5711
2024-01-20,1482,5039,6521
2024-01-21,1510,5119,6629
2024-01-22,1942,4175,6117
2024-01-23,1787,3890,5677
2024-01-24,1721,3603,5324
2024-01-25,1700,3531,5231
2024-01-26,1520,3629,5149
2024-01-27,1376,4852,6228
2024-01-28,1366,4588,5954
2024-01-29,1672,3380,5052
2024-01-30,1581,3193,4774
2024-01-31,2529,5064,7593
2024-02-01,1232,3412,4644
2024-02-02,1121,3834,4955
2024-02-03,1047,4549,5596
2024-02-04,1065,4864,5929
2024-02-05,1199,3553,4752
2024-02-06,1166,3449,4615
2024-02-07,1226,3523,4749
2024-02-08,1161,3578,4739
2024-02-09,1115,3502,4617
2024-02-10,1066,5101,6167
2024-02-11,969,4151,5120
2024-02-12,1371,3571,4942
2024-02-13,3144,9086,12230
2024-02-14,1531,4774,6305
2024-02-15,1249,3612,4861
2024-02-16,1120,3618,4738
2024-02-17,1172,5766,6938
2024-02-18,1040,5224,6264
2024-02-19,1208,3542,4750
2024-02-20,1087,3289,4376
2024-02-21,1075,2836,3911
2024-02-22,1033,3234,4267
2024-02-23,1046,3550,4596
2024-02-24,932,4553,5485
2024-02-25,879,3844,4723
2024-02-26,1074,3096,4170
2024-02-27,1184,3887,5071
2024-02-28,1127,2847,3974
2024-02-29,1149,3077,4226
2024-03-01,1011,3149,4160
2024-03-02,943,4246,5189
2024-03-03,962,4439,5401
2024-03-04,1046,3098,4144
2024-03-05,1049,2911,3960
2024-03-06,1072,2557,3629
2024-03-07,1033,2906,3939
2024-03-08,1064,3189,4253
2024-03-09,862,3473,4335
2024-03-10,1038,3322,4360
2024-03-11,1144,2640,3784
2024-03-12,1205,2729,3934
2024-03-13,1062,2915,3977
2024-03-14,1000,2638,3638
2024-03-15,911,2669,3580
2024-03-16,812,3064,3876
2024-03-17,865,3154,4019
2024-03-18,973,2490,3463
2024-03-19,943,2424,3367
2024-03-20,905,2192,3097
2024-03-21,877,2109,2986
2024-03-22,917,2579,3496
2024-03-23,803,2924,3727
2024-03-24,802,3519,4321
2024-03-25,996,2463,3459
2024-03-26,1292,2608,3900
2024-03-27,1835,3066,4901
2024-03-28,1251,3112,4363
2024-03-29,1418,3180,4598
2024-03-30,836,3407,4243
2024-03-31,821,3544,4365
2024-04-01,858,3418,4276
2024-04-02,1438,3085,4523
2024-04-03,991,2683,3674
2024-04-04,1218,3483,4701
2024-04-05,1095,3027,4122
2024-04-06,1117,5765,6882
2024-04-07,2385,5631,8016
2024-04-08,1389,3600,4989
2024-04-09,975,2933,3908
2024-04-10,1018,2688,3706
2024-04-11,1006,2536,3542
2024-04-12,963,2786,3749
2024-04-13,828,3229,4057
2024-04-14,858,3211,4069
2024-04-15,1054,2741,3795
2024-04-16,937,2664,3601
2024-04-17,1176,2913,4089
2024-04-18,1174,3139,4313
2024-04-19,989,3058,4047
2024-04-20,892,3497,4389
2024-04-21,885,3331,4216
2024-04-22,1030,2853,3883
2024-04-23,1372,2835,4207
2024-04-24,932,2581,3513
2024-04-25,1361,5094,6455
2024-04-26,1153,4007,5160
2024-04-27,1055,3881,4936
2024-04-28,870,3728,4598
2024-04-29,1006,2912,3918
2024-04-30,932,2604,3536
2024-05-01,927,2696,3623
2024-05-02,1063,2884,3947
2024-05-03,1108,3640,4748
2024-05-04,986,4752,5738
2024-05-05,922,4287,5209
2024-05-06,1031,3436,4467
2024-05-07,987,2838,3825
2024-05-08,1007,2795,3802
2024-05-09,930,2509,3439
2024-05-10,846,2298,3144
2024-05-11,758,2860,3618
2024-05-12,730,2795,3525
2024-05-13,871,2208,3079
