date,desktop,mobile,total
2024-01-16,1069,3187,4256
2024-01-17,495,1273,1768
2024-01-18,460,1048,1508
2024-01-19,498,1188,1686
2024-01-20,444,1601,2045
2024-01-21,972,4493,5465
2024-01-22,1206,3886,5092
2024-01-23,651,2194,2845
2024-01-24,690,2852,3542
2024-01-25,640,2599,3239
2024-01-26,474,1389,1863
2024-01-27,679,1902,2581
2024-01-28,684,2609,3293
2024-01-29,2741,8421,11162
2024-01-30,1495,5635,7130
2024-01-31,1244,5710,6954
2024-02-01,611,2162,2773
2024-02-02,602,1522,2124
2024-02-03,337,1346,1683
2024-02-04,365,1630,1995
2024-02-05,585,1642,2227
2024-02-06,702,1512,2214
2024-02-07,558,1346,1904
2024-02-08,526,1153,1679
2024-02-09,575,1521,2096
2024-02-10,371,1501,1872
2024-02-11,1013,6331,7344
2024-02-12,1515,6355,7870
2024-02-13,522,1204,1726
2024-02-14,355,867,1222
2024-02-15,272,644,916
2024-02-16,280,634,914
2024-02-17,210,572,782
2024-02-18,180,508,688
2024-02-19,228,471,699
2024-02-20,266,475,741
2024-02-21,293,510,803
2024-02-22,228,405,633
2024-02-23,204,372,576
2024-02-24,115,312,427
2024-02-25,124,360,484
2024-02-26,279,474,753
2024-02-27,293,536,829
2024-02-28,273,542,815
2024-02-29,224,570,794
2024-03-01,301,490,791
2024-03-02,205,466,671
2024-03-03,138,454,592
2024-03-04,223,507,730
2024-03-05,319,558,877
2024-03-06,409,489,898
2024-03-07,270,580,850
2024-03-08,272,698,970
2024-03-09,158,621,779
2024-03-10,269,999,1268
2024-03-11,1522,3898,5420
2024-03-12,10451,35071,45522
2024-03-13,3155,12915,16070
2024-03-14,1758,7337,9095
2024-03-15,1729,6116,7845
2024-03-16,731,3912,4643
2024-03-17,698,3280,3978
2024-03-18,961,2468,3429
2024-03-19,869,2810,3679
2024-03-20,675,2781,3456
2024-03-21,561,2190,2751
2024-03-22,528,1582,2110
2024-03-23,291,1384,1675
2024-03-24,248,1184,1432
2024-03-25,475,1273,1748
2024-03-26,586,1371,1957
2024-03-27,455,1334,1789
2024-03-28,468,1019,1487
2024-03-29,480,1028,1508
2024-03-30,389,1005,1394
2024-03-31,195,888,1083
2024-04-01,264,781,1045
2024-04-02,431,998,1429
2024-04-03,513,1154,1667
2024-04-04,372,970,1342
2024-04-05,271,916,1187
2024-04-06,169,961,1130
2024-04-07,170,893,1063
2024-04-08,293,772,1065
2024-04-09,406,959,1365
2024-04-10,343,1046,1389
2024-04-11,273,735,1008
2024-04-12,241,683,924
2024-04-13,153,596,749
2024-04-14,118,590,708
2024-04-15,233,617,850
2024-04-16,347,700,1047
2024-04-17,297,724,1021
2024-04-18,258,664,922
2024-04-19,278,821,1099
2024-04-20,173,888,1061
2024-04-21,190,812,1002
2024-04-22,627,1327,1954
2024-04-23,626,1534,2160
2024-04-24,501,1203,1704
2024-04-25,745,2033,2778
2024-04-26,2179,9418,11597
2024-04-27,561,3145,3706
2024-04-28,462,2220,2682
2024-04-29,653,1779,2432
2024-04-30,451,1247,1698
2024-05-01,375,1161,1536
2024-05-02,343,908,1251
2024-05-03,247,819,1066
2024-05-04,158,778,936
2024-05-05,200,852,1052
2024-05-06,281,836,1117
2024-05-07,233,626,859
2024-05-08,213,520,733
2024-05-09,173,508,681
2024-05-10,180,544,724
2024-05-11,134,583,717
2024-05-12,155,500,655
2024-05-13,204,435,639
2024-05-14,203,505,708
2024-05-15,252,542,794
2024-05-16,300,798,1098
2024-05-17,183,495,678
2024-05-18,114,482,596
2024-05-19,115,418,533
2024-05-20,174,424,598
