Country,Capital,Latitude,Longitude,Articles_Within_10km
Afghanistan,Kabul,34.5289,69.1725,10
Albania,Tiranë (Tirana),41.3275,19.8189,10
Algeria,El Djazaïr  (Algiers),36.7525,3.042,10
American Samoa,Pago Pago,-14.2781,-170.7025,10
Andorra,Andorra la Vella,42.5078,1.5211,10
Angola,Luanda,-8.8368,13.2343,10
Anguilla,The Valley,18.217,-63.0578,10
Antigua and Barbuda,St. John's,17.1172,-61.8457,10
Argentina,Buenos Aires,-34.6051,-58.4004,10
Armenia,Yerevan,40.182,44.5146,10
Aruba,Oranjestad,12.524,-70.027,10
Australia,Canberra,-35.2835,149.1281,10
Austria,Wien (Vienna),48.2064,16.3707,10
Azerbaijan,Baku,40.3777,49.892,10
Bahamas,Nassau,25.0582,-77.3431,10
Bahrain,Al-Manamah (Manama),26.2154,50.5832,10
Bangladesh,Dhaka,23.7104,90.4074,10
Barbados,Bridgetown,13.1,-59.6167,10
Belarus,Minsk,53.9,27.5667,10
Belgium,Bruxelles-Brussel,50.8467,4.3499,10
Belize,Belmopan,17.25,-88.7667,10
Benin,Cotonou,6.3654,2.4183,10
Bermuda,Hamilton,32.2915,-64.778,10
Bhutan,Thimphu,27.4661,89.6419,10
Bolivia (Plurinational State of),La Paz,-16.5,-68.15,10
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,10
Botswana,Gaborone,-24.6545,25.9086,10
Brazil,Brasília,-15.7797,-47.9297,10
British Virgin Islands,Road Town,18.4167,-64.6167,10
Brunei Darussalam,Bandar Seri Begawan,4.9403,114.9481,10
Bulgaria,Sofia,42.6975,23.3242,10
Burkina Faso,Ouagadougou,12.3642,-1.5383,10
Burundi,Bujumbura,-3.3822,29.3644,10
Cabo Verde,Praia,14.9215,-23.5087,10
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,10
Cameroon,Yaoundé,3.8667,11.5167,10
Canada,Ottawa-Gatineau,45.4166,-75.698,10
Caribbean Netherlands,Kralendijk,12.15,-68.2667,10
Cayman Islands,George Town,19.2866,-81.3744,10
Central African Republic,Bangui,4.3612,18.555,10
Chad,N'Djaména,12.1067,15.0444,10
Channel Islands,St. Helier,49.188,-2.1049,10
Channel Islands,St. Peter Port,49.4598,-2.5353,10
Chile,Santiago,-33.4569,-70.6483,10
China,Beijing,39.9075,116.3972,10
"China, Hong Kong SAR",Hong Kong,22.2796,114.1887,10
"China, Macao SAR",Macao,22.2006,113.5461,10
"China, Taiwan Province of China",Taibei,25.047,121.5457,10
Colombia,Bogotá,4.6097,-74.0818,10
Comoros,Moroni,-11.7022,43.2551,10
Congo,Brazzaville,-4.2658,15.2832,10
Cook Islands,Rarotonga,-21.23,-159.76,10
Costa Rica,San José,9.9278,-84.0807,10
Côte d'Ivoire,Abidjan,5.3453,-4.0268,10
Croatia,Zagreb,45.8144,15.978,10
Cuba,La Habana (Havana),23.1195,-82.3785,10
Curaçao,Willemstad,12.1084,-68.9335,10
Cyprus,Lefkosia (Nicosia),35.1595,33.3669,10
Czechia,Praha (Prague),50.088,14.4208,10
Dem. People's Republic of Korea,P'yongyang,39.0339,125.7543,10
Democratic Republic of the Congo,Kinshasa,-4.3276,15.3136,10
Denmark,København (Copenhagen),55.6759,12.5655,10
Djibouti,Djibouti,11.5877,43.1447,10
Dominica,Roseau,15.3017,-61.3881,10
Dominican Republic,Santo Domingo,18.4896,-69.9018,10
Ecuador,Quito,-0.2299,-78.525,10
Egypt,Al-Qahirah (Cairo),30.0392,31.2394,10
El Salvador,San Salvador,13.6894,-89.1872,10
Equatorial Guinea,Malabo,3.75,8.7833,10
Eritrea,Asmara,15.3333,38.9333,10
Estonia,Tallinn,59.437,24.7535,10
Ethiopia,Addis Ababa,9.025,38.7469,10
Faeroe Islands,Tórshavn,62.0097,-6.7716,10
Falkland Islands (Malvinas),Stanley,-51.7012,-57.8494,10
Fiji,Suva,-18.1416,178.4415,10
Finland,Helsinki,60.1692,24.9402,10
France,Paris,48.8534,2.3488,10
French Guiana,Cayenne,4.9333,-52.3333,10
French Polynesia,Papeete,-17.5333,-149.5667,10
Gabon,Libreville,0.3925,9.4537,10
Gambia,Banjul,13.4531,-16.6794,10
Georgia,Tbilisi,41.6941,44.8337,10
Germany,Berlin,52.5244,13.4105,10
Ghana,Accra,5.556,-0.1969,10
Gibraltar,Gibraltar,36.1447,-5.3526,10
Greece,Athínai (Athens),37.9534,23.749,10
Greenland,Nuuk (Godthåb),64.1835,-51.7216,10
Grenada,St.George's,12.0564,-61.7485,10
Guadeloupe,Basse-Terre,15.9985,-61.7255,10
Guam,Hagåtña,13.4757,144.7489,10
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,10
Guinea,Conakry,9.5716,-13.6476,10
Guinea-Bissau,Bissau,11.8636,-15.5977,10
Guyana,Georgetown,6.8045,-58.1553,10
Haiti,Port-au-Prince,18.5392,-72.335,10
Holy See,Vatican City,41.9024,12.4533,10
Honduras,Tegucigalpa,14.0818,-87.2068,10
Hungary,Budapest,47.498,19.0399,10
Iceland,Reykjavík,64.1355,-21.8954,10
India,Delhi,28.6667,77.2167,10
Indonesia,Jakarta,-6.2118,106.8416,10
Iran (Islamic Republic of),Tehran,35.6944,51.4215,10
Iraq,Baghdad,33.3406,44.4009,10
Ireland,Dublin,53.3331,-6.2489,10
Isle of Man,Douglas,54.15,-4.4833,10
Israel,Jerusalem,31.769,35.2163,10
Italy,Roma (Rome),41.8947,12.4811,10
Jamaica,Kingston,17.997,-76.7936,10
Japan,Tokyo,35.6895,139.6917,10
Jordan,Amman,31.9552,35.945,10
Kazakhstan,Astana,51.1801,71.446,10
Kenya,Nairobi,-1.2833,36.8167,10
Kiribati,Tarawa,1.3272,172.9813,10
Kuwait,Al Kuwayt (Kuwait City),29.3697,47.9783,10
Kyrgyzstan,Bishkek,42.87,74.59,10
Lao People's Democratic Republic,Vientiane,17.9667,102.6,10
Latvia,Riga,56.946,24.1059,10
Lebanon,Bayrut (Beirut),33.9,35.4833,10
Lesotho,Maseru,-29.3167,27.4833,10
Liberia,Monrovia,6.3005,-10.7969,10
Libya,Tarabulus (Tripoli),32.8752,13.1875,10
Liechtenstein,Vaduz,47.1415,9.5215,10
Lithuania,Vilnius,54.6892,25.2798,10
Luxembourg,Luxembourg,49.6117,6.13,10
Madagascar,Antananarivo,-18.9137,47.5361,10
Malawi,Lilongwe,-13.9669,33.7873,10
Malaysia,Kuala Lumpur,3.1412,101.6865,10
Maldives,Male,4.1748,73.5089,10
Mali,Bamako,12.65,-8.0,10
Malta,Valletta,35.8997,14.5147,10
Marshall Islands,Majuro,7.0897,171.3803,10
Martinique,Fort-de-France,14.6089,-61.0733,10
Mauritania,Nouakchott,18.0858,-15.9785,10
Mauritius,Port Louis,-20.1619,57.4989,10
Mayotte,Mamoudzou,-12.7794,45.2272,10
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,10
Micronesia (Fed. States of),Palikir,6.9174,158.1588,10
Monaco,Monaco,43.7333,7.4167,10
Mongolia,Ulaanbaatar,47.9077,106.8832,10
Montenegro,Podgorica,42.4411,19.2636,10
Montserrat,Brades Estate,16.7918,-62.2106,10
Morocco,Rabat,34.0133,-6.8326,10
Mozambique,Maputo,-25.9653,32.5892,10
Myanmar,Nay Pyi Taw,19.745,96.1297,10
Namibia,Windhoek,-22.5594,17.0832,10
Nauru,Nauru,-0.5308,166.9112,10
Nepal,Kathmandu,27.7017,85.3206,10
Netherlands,Amsterdam,52.374,4.8897,10
New Caledonia,Nouméa,-22.2763,166.4572,10
New Zealand,Wellington,-41.2866,174.7756,10
Nicaragua,Managua,12.1328,-86.2504,10
Niger,Niamey,13.5137,2.1098,10
Nigeria,Abuja,9.0574,7.4898,10
Niue,Alofi,-19.0585,-169.9213,10
Northern Mariana Islands,Saipan,15.2123,145.7545,10
Norway,Oslo,59.9127,10.7461,10
Oman,Masqat (Muscat),23.6139,58.5922,10
Pakistan,Islamabad,33.7035,73.0594,10
Palau,Koror,7.3426,134.4789,10
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,10
