country,views,rank,views_ceil,views_min
US,1000000000-9999999999,1,3194571000,1000000000
GB,100000000-999999999,2,883167000,100000000
IN,100000000-999999999,3,734491000,100000000
CA,100000000-999999999,4,386835000,100000000
AU,100000000-999999999,5,240218000,100000000
DE,100000000-999999999,6,150483000,100000000
PH,100000000-999999999,7,131395000,100000000
NL,10000000-99999999,8,82546000,10000000
ID,10000000-99999999,9,77209000,10000000
FR,10000000-99999999,10,72521000,10000000
IR,10000000-99999999,11,71290000,10000000
IT,10000000-99999999,12,69435000,10000000
MY,10000000-99999999,13,66850000,10000000
IE,10000000-99999999,14,66210000,10000000
BR,10000000-99999999,15,63368000,10000000
SE,10000000-99999999,16,63264000,10000000
PL,10000000-99999999,17,60377000,10000000
SG,10000000-99999999,18,58201000,10000000
ZA,10000000-99999999,19,55053000,10000000
NZ,10000000-99999999,20,51796000,10000000
ES,10000000-99999999,21,50597000,10000000
PK,10000000-99999999,22,49860000,10000000
RU,10000000-99999999,23,47914000,10000000
JP,10000000-99999999,24,41371000,10000000
FI,10000000-99999999,25,38869000,10000000
NG,10000000-99999999,26,38733000,10000000
MX,10000000-99999999,27,37502000,10000000
TR,10000000-99999999,28,37496000,10000000
BD,10000000-99999999,29,37222000,10000000
RO,10000000-99999999,30,36880000,10000000
GR,10000000-99999999,31,35486000,10000000
BE,10000000-99999999,32,33534000,10000000
TH,10000000-99999999,33,31969000,10000000
NO,10000000-99999999,34,30699000,10000000
DK,10000000-99999999,35,30358000,10000000
HK,10000000-99999999,36,27986000,10000000
AE,10000000-99999999,37,27496000,10000000
CH,10000000-99999999,38,27434000,10000000
IL,10000000-99999999,39,26483000,10000000
HU,10000000-99999999,40,25570000,10000000
RS,10000000-99999999,41,24878000,10000000
CZ,10000000-99999999,42,24574000,10000000
PT,10000000-99999999,43,22966000,10000000
VN,10000000-99999999,44,21877000,10000000
KR,10000000-99999999,45,21860000,10000000
AT,10000000-99999999,46,21157000,10000000
HR,10000000-99999999,47,19808000,10000000
SA,10000000-99999999,48,19387000,10000000
BG,10000000-99999999,49,18778000,10000000
EG,10000000-99999999,50,18012000,10000000
TW,10000000-99999999,51,17219000,10000000
AR,10000000-99999999,52,16622000,10000000
UA,10000000-99999999,53,15605000,10000000
KE,10000000-99999999,54,14844000,10000000
LK,10000000-99999999,55,14392000,10000000
NP,10000000-99999999,56,11713000,10000000
SK,10000000-99999999,57,11484000,10000000
CL,10000000-99999999,58,10869000,10000000
CO,10000000-99999999,59,10817000,10000000
SI,10000000-99999999,60,10801000,10000000
LT,1000000-9999999,61,9991000,1000000
EE,1000000-9999999,62,8414000,1000000
MA,1000000-9999999,63,7559000,1000000
GH,1000000-9999999,64,7473000,1000000
PE,1000000-9999999,65,7428000,1000000
BA,1000000-9999999,66,7175000,1000000
GE,1000000-9999999,67,6606000,1000000
LV,1000000-9999999,68,6283000,1000000
IQ,1000000-9999999,69,6150000,1000000
MK,1000000-9999999,70,6074000,1000000
PR,1000000-9999999,71,5975000,1000000
QA,1000000-9999999,72,5635000,1000000
DZ,1000000-9999999,73,5561000,1000000
ET,1000000-9999999,74,5341000,1000000
KZ,1000000-9999999,75,4749000,1000000
AZ,1000000-9999999,76,4624000,1000000
TZ,1000000-9999999,77,4614000,1000000
KW,1000000-9999999,78,4520000,1000000
MM,1000000-9999999,79,4359000,1000000
CY,1000000-9999999,80,4292000,1000000
IS,1000000-9999999,81,4123000,1000000
AL,1000000-9999999,82,4041000,1000000
VE,1000000-9999999,83,3991000,1000000
KH,1000000-9999999,84,3802000,1000000
LB,1000000-9999999,85,3755000,1000000
CR,1000000-9999999,86,3696000,1000000
MT,1000000-9999999,87,3589000,1000000
--,1000000-9999999,88,3585000,1000000
DO,1000000-9999999,89,3568000,1000000
UG,1000000-9999999,90,3564000,1000000
TN,1000000-9999999,91,3408000,1000000
JO,1000000-9999999,92,3363000,1000000
TT,1000000-9999999,93,3221000,1000000
UZ,1000000-9999999,94,3179000,1000000
LU,1000000-9999999,95,3176000,1000000
JM,1000000-9999999,96,3125000,1000000
BY,1000000-9999999,97,3067000,1000000
AM,1000000-9999999,98,2949000,1000000
EC,1000000-9999999,99,2930000,1000000
BH,1000000-9999999,100,2750000,1000000
OM,1000000-9999999,101,2666000,1000000
MU,1000000-9999999,102,2531000,1000000
UY,1000000-9999999,103,2450000,1000000
