article,views,rank
Main_Page,4435520,1
Special:Search,1209771,2
Animal_(2023_film),846560,3
Henry_Kissinger,622457,4
Shane_MacGowan,364602,5
Sandra_Day_O'Connor,358423,6
George_Santos,352086,7
YouTube,299062,8
Wikipedia:Featured_pictures,268205,9
Pornhub,192047,10
Cleopatra,150498,11
Deaths_in_2023,140282,12
Sam_Bahadur_(film),118303,13
Cher,115537,14
2024_ICC_Men's_T20_World_Cup,112546,15
Godzilla_Minus_One,108287,16
Lin_Laishram,107195,17
Gavin_Newsom,107124,18
Paolo_Macchiarini,106897,19
XNXX,106717,20
Tripti_Dimri,103561,21
Sam_Manekshaw,102368,22
ChatGPT,98306,23
Furiosa:_A_Mad_Max_Saga,97928,24
Omid_Scobie,96253,25
XVideos,96225,26
Napoleon,94575,27
The_Pogues,92959,28
XHamster,89331,29
Napoleon_(2023_film),88478,30
Salaar:_Part_1_–_Ceasefire,86682,31
Tiger_3,85617,32
Sandeep_Reddy_Vanga,82401,33
Randeep_Hooda,81670,34
Leo_(2023_Indian_film),77408,35
Kirsty_MacColl,75984,36
Mad_Max:_Fury_Road,71719,37
Elon_Musk,71048,38
Saltburn_(film),68849,39
May_December,68047,40
2023_Telangana_Legislative_Assembly_election,68035,41
Facebook,65999,42
India_national_cricket_team,64441,43
Imperator_Furiosa,63099,44
XXX:_Return_of_Xander_Cage,62681,45
Pete_Carroll,62179,46
Christmas_and_holiday_season,61166,47
Jimmy_Carter,60323,48
Anya_Taylor-Joy,60096,49
2023_Israel–Hamas_war,59735,50
Macaulay_Culkin,59517,51
Julia_Roberts,59382,52
Geno_Smith,59119,53
Al_Nassr_FC,57867,54
Australia_national_cricket_team,57600,55
Charlie_Munger,56701,56
Squid_Game:_The_Challenge,55268,57
Bhopal_disaster,53686,58
Taylor_Swift,53555,59
Fairytale_of_New_York,53107,60
XXXTentacion,52558,61
The_Hunger_Games:_The_Ballad_of_Songbirds_&_Snakes,52378,62
Portal:Current_events,52371,63
Timothée_Chalamet,52284,64
Instagram,51733,65
Sex,51507,66
Oppenheimer_(film),50131,67
DK_Metcalf,49590,68
Google_Translate,48502,69
Nutty_Putty_Cave,48498,70
Victoria_Mary_Clarke,48355,71
Wish_(film),47579,72
Mission_Raniganj,47192,73
Kathryn_Bernardo,46927,74
Brenda_Song,46048,75
Candy_Cane_Lane_(film),45339,76
XXX_(film_series),45190,77
J._Robert_Oppenheimer,44747,78
United_States,44712,79
Julianna_Margulies,44686,80
Outlook.com,44358,81
Shaheed_Veer_Narayan_Singh_International_Cricket_Stadium,44012,82
December_1,43149,83
XXXX_(beer),42797,84
Alia_Bhatt,42557,85
Wikipedia,42157,86
Rilmenidine,42038,87
Rashmika_Mandanna,41309,88
Brigit_Forsyth,40915,89
Nancy_Kissinger,40030,90
Raindrop_cake,39762,91
Alistair_Darling,39349,92
Dak_Prescott,39327,93
James_Traficant,38921,94
Brandon_Burlsworth,38714,95
The_Marvels,38480,96
Expulsion_from_the_United_States_Congress,37837,97
Dodi_Fayed,37161,98
Monarch:_Legacy_of_Monsters,37091,99
Daniel_Padilla,37076,100
Naughty_America,37070,101
2023_UK_Championship,36460,102
Jeremy_Allen_White,36410,103
Invincible_(TV_series),36408,104
Killers_of_the_Flower_Moon_(film),36301,105
Kimberly_Guilfoyle,36266,106
Cary_Grant,36081,107
Mad_Max,36056,108
Von_Miller,36039,109
Dionne_Warwick,36008,110
Cristiano_Ronaldo,35961,111
Chithha,35792,112
Mary_Kay_Letourneau,35779,113
New_York's_3rd_congressional_district,35606,114
ICC_Men's_T20_World_Cup,35582,115
WhatsApp,35534,116
Ansel_Adams,35513,117
Jennifer_Siebel_Newsom,35272,118
Ranbir_Kapoor,34847,119
George_Miller_(filmmaker),34242,120
India,33998,121
CeeDee_Lamb,33850,122
Indiana_Jones_and_the_Dial_of_Destiny,33844,123
Jawan_(film),33729,124
Trebuchet,33215,125
Tesla_Cybertruck,33175,126
Thanksgiving_(2023_film),33167,127
Florence_Petty,32647,128
Travis_Kelce,32399,129
Sammy_Gravano,32397,130
File:Flag_of_Singapore.svg,32142,131
Tony_Bellew,31809,132
Donald_Trump,31761,133
Obliterated,31696,134
"Diana,_Princess_of_Wales",31375,135
Paul_Walker,31215,136
Jennifer_Lawrence,31192,137
Babloo_Prithiveeraj,30920,138
Family_Switch,30712,139
Anna_Paulina_Luna,30628,140
Fargo_(season_5),30593,141
Dwayne_Johnson,30474,142
Sweet_Home_(TV_series),30124,143
Andrea_Brillantes,29773,144
Elizabeth_II,29565,145
Flipkart,29539,146
Joe_Biden,29403,147
Jitesh_Sharma,29230,148
List_of_highest-grossing_Indian_films,29154,149
Rosalynn_Carter,29128,150
DaRon_Bland,29066,151
2023_Madhya_Pradesh_Legislative_Assembly_election,29055,152
Premier_League,28991,153
Mohamed_Al-Fayed,28836,154
Jennifer_Garner,28756,155
.xxx,28478,156
Beyoncé,28453,157
Rachel_Zegler,28391,158
UEFA_Europa_League,28275,159
Doctor_Who_(2023_specials),28232,160
Silent_Night_(2023_film),28193,161
Slow_Horses,28177,162
Wordle,28013,163
UEFA_Champions_League,27982,164
Bruce_Willis,27974,165
Wonka_(film),27845,166
Squid_Game,27728,167
Eddie_Murphy,27703,168
Guyana,27661,169
Corey_Perry,27633,170
Ron_DeSantis,27437,171
Sarah_Silverman,27396,172
Viral_video,27024,173
Bobby_Deol,26983,174
Tree_Paine,26950,175
Paris_Hilton,26936,176
Israel,26929,177
Leonard_Bernstein,26844,178
Nikki_Haley,26654,179
Felicity_Huffman,26536,180
Charles_III,26489,181
The_Ballad_of_Songbirds_and_Snakes,26345,182
Realpolitik,26307,183
Joséphine_de_Beauharnais,26186,184
Jesse_Palmer,25962,185
Leave_the_World_Behind_(film),25882,186
Morgan_Freeman,25777,187
Shannen_Doherty,25726,188
The_Creator_(2023_film),25611,189
2023_Rajasthan_Legislative_Assembly_election,25584,190
Dunki_(film),25398,191
Hugh_Jackman,25302,192
Help:IPA/English,25137,193
Selena_Gomez,25136,194
Bigg_Boss_(Hindi_season_17),25126,195
Blue_Eye_Samurai,25109,196
List_of_Hindi_films_of_2023,24951,197
Great_Union_Day,24860,198
Shelley_Hennig,24827,199
Twitter,24826,200
Chaturbate,24697,201
Leo_(2023_American_film),24688,202
World_War_II,24663,203
Matthew_Perry,24550,204
2023–24_UEFA_Europa_League,24432,205
United_Kingdom,24413,206
Garudan_(film),24386,207
Adolf_Hitler,24377,208
Five_Nights_at_Freddy's,24286,209
Christmas,24217,210
Tom_Hanks,24187,211
Immortan_Joe,24131,212
Trolls_Band_Together,24112,213
Cat,24036,214
Barack_Obama,23935,215
The_Hunger_Games,23902,216
Hamas,23883,217
Furiosa_(film),23812,218
Mia_Khalifa,23769,219
Revanth_Reddy,23581,220
Tanveer_Sangha,23562,221
Andrew_Whitworth,23558,222
Lionel_Messi,23390,223
Nancy_Maginnes,23350,224
Richard_Kettleborough,23240,225
The_Twelve_Days_of_Christmas_(song),23084,226
Lethal_Company,23015,227
Barry_Sanders,22990,228
2023_FIFA_U-17_World_Cup,22959,229
